id_establecimiento,area_servicio
840307120,Farmacia y dispensación de medicamentos
840307120,Gestión y manejo de residuos hospitalarios
840307120,Medicina interna
840307120,Pediatría
840307120,Salud mental y apoyo psicosocial
840307120,Vacunación
844133313,"Agua, saneamiento e higiene"
844133313,Atención materna y obstétrica
844133313,Consulta externa
844133313,Emergencias
844133313,Farmacia y dispensación de medicamentos
844133313,Gestión y manejo de residuos hospitalarios
844133313,Salud mental y apoyo psicosocial
844133313,Salud sexual y reproductiva
844179941,"Agua, saneamiento e higiene"
844179941,Atención materna y obstétrica
844179941,Consulta externa
844179941,Emergencias
844179941,Farmacia y dispensación de medicamentos
844179941,Gestión y manejo de residuos hospitalarios
844179941,Salud mental y apoyo psicosocial
844179941,Salud sexual y reproductiva
844200239,"Agua, saneamiento e higiene"
844200239,Atención materna y obstétrica
844200239,Consulta externa
844200239,Emergencias
844200239,Farmacia y dispensación de medicamentos
844200239,Gestión y manejo de residuos hospitalarios
844200239,Salud mental y apoyo psicosocial
844200239,Salud sexual y reproductiva
844234277,"Agua, saneamiento e higiene"
844234277,Atención materna y obstétrica
844234277,Consulta externa
844234277,Emergencias
844234277,Farmacia y dispensación de medicamentos
844234277,Gestión y manejo de residuos hospitalarios
844234277,Salud sexual y reproductiva
844251562,"Agua, saneamiento e higiene"
844251562,Atención materna y obstétrica
844251562,Consulta externa
844251562,Emergencias
844251562,Farmacia y dispensación de medicamentos
844251562,Gestión y manejo de residuos hospitalarios
844251562,Salud mental y apoyo psicosocial
844251562,Salud sexual y reproductiva
844264157,"Agua, saneamiento e higiene"
844264157,Atención materna y obstétrica
844264157,Consulta externa
844264157,Emergencias
844264157,Farmacia y dispensación de medicamentos
844264157,Gestión y manejo de residuos hospitalarios
844264157,Salud mental y apoyo psicosocial
844264157,Salud sexual y reproductiva
844270513,"Agua, saneamiento e higiene"
844270513,Atención materna y obstétrica
844270513,Consulta externa
844270513,Emergencias
844270513,Farmacia y dispensación de medicamentos
844270513,Gestión y manejo de residuos hospitalarios
844270513,Salud mental y apoyo psicosocial
844270513,Salud sexual y reproductiva
844279283,"Agua, saneamiento e higiene"
844279283,Atención materna y obstétrica
844279283,Consulta externa
844279283,Emergencias
844279283,Farmacia y dispensación de medicamentos
844279283,Gestión y manejo de residuos hospitalarios
844279283,Salud mental y apoyo psicosocial
844279283,Salud sexual y reproductiva
844285102,"Agua, saneamiento e higiene"
844285102,Atención materna y obstétrica
844285102,Consulta externa
844285102,Emergencias
844285102,Farmacia y dispensación de medicamentos
844285102,Gestión y manejo de residuos hospitalarios
844285102,Salud mental y apoyo psicosocial
844285102,Salud sexual y reproductiva
844295134,"Agua, saneamiento e higiene"
844295134,Atención materna y obstétrica
844295134,Consulta externa
844295134,Emergencias
844295134,Farmacia y dispensación de medicamentos
844295134,Gestión y manejo de residuos hospitalarios
844295134,Salud mental y apoyo psicosocial
844295134,Salud sexual y reproductiva
844304760,"Agua, saneamiento e higiene"
844304760,Atención materna y obstétrica
844304760,Consulta externa
844304760,Emergencias
844304760,Farmacia y dispensación de medicamentos
844304760,Gestión y manejo de residuos hospitalarios
844304760,Salud mental y apoyo psicosocial
844304760,Salud sexual y reproductiva
844391255,"Agua, saneamiento e higiene"
844391255,Atención materna y obstétrica
844391255,Consulta externa
844391255,Emergencias
844391255,Farmacia y dispensación de medicamentos
844391255,Gestión y manejo de residuos hospitalarios
844532154,Cirugía
844532154,Consulta externa
844532154,Emergencias
844532154,Farmacia y dispensación de medicamentos
844532154,Medicina interna
844532154,Pediatría
844532154,Salud sexual y reproductiva
844596537,Atención materna y obstétrica
844596537,Consulta externa
844596537,Farmacia y dispensación de medicamentos
844596537,Medicina interna
844596537,Pediatría
844596537,Salud mental y apoyo psicosocial
844629070,"Agua, saneamiento e higiene"
844629070,Cirugía
844629070,Emergencias
844629070,Farmacia y dispensación de medicamentos
844629070,Gestión y manejo de residuos hospitalarios
844629070,Hospitalización
844629070,Pediatría
